1,1/5/2015,Superhero action jacket (Blue) XXS,5,125
1,1/5/2015,Void fill 400 L bag (White) 400L,40,"2,000.00"
1,1/6/2015,The Gu red shirt XML tag t-shirt (White) XL,72,"1,296.00"
1,1/6/2015,20 mm Double sided bubble wrap 10m,40,720
1,1/6/2015,Alien officer hoodie (Black) 4XL,6,210
1,1/6/2015,Black and orange fragile despatch tape 48mmx75m,180,666
1,1/6/2015,Superhero action jacket (Blue) XXS,8,200
1,1/8/2015,The Gu red shirt XML tag t-shirt (White) 7XL,36,648
1,1/8/2015,Halloween skull mask (Gray) XL,60,"1,080.00"
1,1/8/2015,USB food flash drive - pizza slice,5,160
1,2/4/2015,The Gu red shirt XML tag t-shirt (Black) XXL,48,864
1,2/4/2015,The Gu red shirt XML tag t-shirt (White) XXS,108,"1,944.00"
1,2/4/2015,Developer joke mug - inheritance is the OO way to become wealthy (White),5,65
1,2/4/2015,Developer joke mug - understanding recursion requires understanding recursion (White),3,39
1,2/4/2015,Small 9mm replacement blades 9mm,30,123
1,3/3/2015,The Gu red shirt XML tag t-shirt (White) XS,72,"1,296.00"
1,3/3/2015,3 kg Courier post bag (White) 300x190x95mm,25,16.5
1,3/3/2015,Ride on vintage American toy coupe (Black) 1/12 scale,9,"2,565.00"
1,3/3/2015,Shipping carton (Brown) 457x457x457mm,25,52.5
1,3/12/2015,The Gu red shirt XML tag t-shirt (White) 7XL,24,432
1,3/12/2015,Black and orange this way up despatch tape 48mmx75m,144,532.8
1,3/12/2015,Dinosaur battery-powered slippers (Green) S,8,256
1,3/12/2015,RC big wheel monster truck with remote control (Black) 1/50 scale,9,405
1,3/24/2015,The Gu red shirt XML tag t-shirt (White) 6XL,84,"1,512.00"
1,3/24/2015,Developer joke mug - inheritance is the OO way to become wealthy (Black),5,65
1,3/24/2015,Developer joke mug - inheritance is the OO way to become wealthy (White),5,65
1,3/24/2015,Permanent marker red 5mm nib (Red) 5mm,60,162
1,3/24/2015,Void fill 200 L bag (White) 200L,60,"1,500.00"
1,4/2/2015,Bubblewrap dispenser (Blue) 1.5m,9,"2,160.00"
1,4/2/2015,Developer joke mug - fun was unexpected at this time (White),8,104
1,4/2/2015,Developer joke mug - understanding recursion requires understanding recursion (White),9,117
1,4/2/2015,Halloween zombie mask (Light Brown) M,24,432
1,4/2/2015,Permanent marker red 5mm nib (Red) 5mm,48,129.6
1,4/2/2015,Shipping carton (Brown) 279x254x217mm,100,111
1,4/2/2015,Shipping carton (Brown) 413x285x187mm,225,236.25
1,4/9/2015,DBA joke mug - mind if I join you? (White),5,65
1,4/9/2015,Dinosaur battery-powered slippers (Green) M,4,128
1,4/9/2015,Office cube periscope (Black),100,"1,850.00"
1,4/9/2015,Ride on vintage American toy coupe (Black) 1/12 scale,4,"1,140.00"
1,4/9/2015,Shipping carton (Brown) 500x310x310mm,225,573.75
1,4/27/2015,10 mm Anti static bubble wrap (Blue) 10m,20,520
1,4/27/2015,Furry gorilla with big eyes slippers (Black) M,5,160
1,4/28/2015,The Gu red shirt XML tag t-shirt (Black) 5XL,84,"1,512.00"
1,4/28/2015,10 mm Double sided bubble wrap 20m,10,300
1,4/28/2015,32 mm Anti static bubble wrap (Blue) 50m,90,"9,450.00"
1,4/28/2015,Developer joke mug - this code was generated by a tool (Black),9,117
1,4/28/2015,Furry gorilla with big eyes slippers (Black) M,4,128
1,4/30/2015,Developer joke mug - Oct 31 = Dec 25 (White),9,117
1,4/30/2015,Developer joke mug - that's a hardware problem (White),2,26
1,5/12/2015,The Gu red shirt XML tag t-shirt (Black) XXS,120,"2,160.00"
1,5/12/2015,DBA joke mug - I will get you in order (White),5,65
1,5/12/2015,IT joke mug - keyboard not found ? press F1 to continue (Black),2,26
1,5/12/2015,USB food flash drive - pizza slice,1,32
1,5/19/2015,DBA joke mug - mind if I join you? (Black),3,39
1,5/19/2015,"Developer joke mug - (hip, hip, array) (White)",8,104
1,5/27/2015,32 mm Anti static bubble wrap (Blue) 20m,90,"4,320.00"
1,5/27/2015,Black and orange fragile despatch tape 48mmx75m,252,932.4
1,5/27/2015,Ride on toy sedan car (Green) 1/12 scale,8,"1,840.00"
1,5/27/2015,Superhero action jacket (Blue) XXL,2,60
1,5/27/2015,Void fill 300 L bag (White) 300L,80,"3,000.00"
1,6/3/2015,The Gu red shirt XML tag t-shirt (White) 6XL,96,"1,728.00"
1,6/3/2015,Black and orange glass with care despatch tape 48mmx75m,24,88.8
1,6/3/2015,RC big wheel monster truck with remote control (Black) 1/50 scale,8,360
1,6/3/2015,Shipping carton (Brown) 229x229x229mm,50,52.5
1,6/8/2015,The Gu red shirt XML tag t-shirt (Black) L,96,"1,728.00"
1,6/8/2015,10 mm Double sided bubble wrap 10m,40,600
1,6/8/2015,Shipping carton (Brown) 480x270x320mm,200,548
1,6/8/2015,Void fill 200 L bag (White) 200L,50,"1,250.00"
1,6/9/2015,The Gu red shirt XML tag t-shirt (Black) S,36,648
1,6/9/2015,The Gu red shirt XML tag t-shirt (White) M,84,"1,512.00"
1,6/9/2015,The Gu red shirt XML tag t-shirt (White) XL,96,"1,728.00"
1,6/9/2015,Dinosaur battery-powered slippers (Green) S,3,96
1,6/9/2015,Superhero action jacket (Blue) XXL,8,240
1,6/16/2015,32 mm Double sided bubble wrap 10m,60,"1,320.00"
1,6/16/2015,DBA joke mug - you might be a DBA if (White),7,91
1,6/16/2015,Developer joke mug - that's a hardware problem (White),2,26
1,6/16/2015,Developer joke mug - this code was generated by a tool (Black),6,78
1,6/16/2015,Halloween skull mask (Gray) M,84,"1,512.00"
1,6/19/2015,Halloween zombie mask (Light Brown) XL,120,"2,160.00"
1,6/19/2015,Superhero action jacket (Blue) L,7,210
1,7/7/2015,Air cushion film 200mmx200mm 325m,9,810
1,7/7/2015,Animal with big feet slippers (Brown) S,6,192
1,7/7/2015,DBA joke mug - you might be a DBA if (White),9,117
1,7/7/2015,Furry animal socks (Pink) M,36,180
1,7/7/2015,Ride on toy sedan car (Blue) 1/12 scale,9,"2,070.00"
1,7/9/2015,DBA joke mug - mind if I join you? (Black),1,13
1,7/9/2015,Pack of 12 action figures (male),3,48
1,7/9/2015,RC vintage American toy coupe with remote control (Black) 1/50 scale,5,150
1,7/9/2015,Ride on big wheel monster truck (Black) 1/12 scale,5,"1,725.00"
1,7/20/2015,Alien officer hoodie (Black) XL,1,35
1,7/20/2015,Developer joke mug - this code was generated by a tool (White),8,104
1,7/20/2015,Halloween zombie mask (Light Brown) S,84,"1,512.00"
1,7/20/2015,RC toy sedan car with remote control (Red) 1/50 scale,8,200
1,7/28/2015,The Gu red shirt XML tag t-shirt (Black) 3XL,84,"1,512.00"
1,7/28/2015,Red and white urgent  heavy despatch tape  48mmx100m,240,984
1,8/6/2015,Alien officer hoodie (Black) 4XL,10,350
1,8/6/2015,Bubblewrap dispenser (Red) 1.5m,9,"2,160.00"
1,8/6/2015,DBA joke mug - I will get you in order (Black),8,104
